"","accuracy","auc","precision","recall","f1","V1"
"1","0.75","0.649404761904762","0.842555994729908","0.834523809523809","0.836014237825653","1-1"
"2","0.771428571428571","0.648430735930736","0.836564768564769","0.880194805194805","0.855354389674464","1-2"
"3","0.792857142857143","0.734079302340172","0.875670698485344","0.851015747537487","0.861157487244444","1-3"
"4","0.771428571428571","0.739761031366294","0.879815295815296","0.828966507177033","0.845476190476191","1-4"
"5","0.728571428571429","0.583238095238095","0.814928847793298","0.842666666666667","0.8244457510175","1-5"
"6","0.778571428571429","0.625070581592321","0.841223834988541","0.873950686994165","0.853392163943306","1-6"
"7","0.785714285714286","0.695731225296443","0.872113997113997","0.853367212497647","0.860874586406501","1-7"
"8","0.821428571428572","0.726788537549407","0.878950310559006","0.898577075098814","0.886191603574276","1-8"
"9","0.75","0.649543258673693","0.844948240165632","0.839086517347387","0.838430357200241","2-1"
"10","0.735714285714286","0.602246376811594","0.828976608187135","0.835207039337474","0.828339659961895","2-2"
"11","0.742857142857143","0.634865424430642","0.829636363636364","0.831635610766046","0.82431276794004","2-3"
"12","0.757142857142857","0.652857142857143","0.84042624042624","0.841428571428571","0.83592132505176","2-4"
"13","0.75","0.645292207792208","0.853452685421995","0.826298701298701","0.837232524274193","2-5"
"14","0.778571428571429","0.741867965367965","0.885754385964912","0.828974025974026","0.848646870353053","2-6"
"15","0.728571428571428","0.617132505175983","0.830040863027133","0.814265010351967","0.820772017004503","2-7"
"16","0.742857142857143","0.613171936758893","0.831513515724042","0.843724825898739","0.832594159615066","2-8"
"17","0.7","0.662465367965368","0.857494172494172","0.754692640692641","0.791792934227955","3-1"
"18","0.764285714285714","0.644833333333333","0.838228864956554","0.848","0.842018315018315","3-2"
"19","0.714285714285714","0.603016318794351","0.825149831099488","0.806191367747432","0.813450458497465","3-3"
"20","0.771428571428571","0.683232769010801","0.855636363636364","0.839957601513666","0.847046751158249","3-4"
"21","0.692857142857143","0.580526292675034","0.816082564778217","0.79327480757229","0.799840442671585","3-5"
"22","0.735714285714286","0.620333145115754","0.830358554488989","0.834952004517222","0.831001711466828","3-6"
"23","0.771428571428571","0.709040560888387","0.883648165597284","0.814985883681536","0.845031096844459","3-7"
"24","0.764285714285714","0.667674101261058","0.861281464530892","0.834157726331639","0.845670234003388","3-8"
"25","0.75","0.631851119894598","0.838866187207148","0.843702239789196","0.839365835110516","4-1"
"26","0.757142857142857","0.702454984628898","0.867222943722944","0.831576635924462","0.839258416002602","4-2"
"27","0.771428571428571","0.631148313928634","0.844861660079051","0.878487104047745","0.855972844142713","4-3"
"28","0.75","0.651006493506493","0.839412761151892","0.846060606060606","0.84008640500046","4-4"
"29","0.771428571428572","0.677619518162996","0.855976560145358","0.850239036325993","0.849004905526645","4-5"
"30","0.735714285714286","0.588493354598618","0.824022467235282","0.846827979038505","0.831387415559704","4-6"
"31","0.8","0.668363636363636","0.848596273291925","0.898393939393939","0.871504958618269","4-7"
"32","0.714285714285714","0.60290645916504","0.820390066074276","0.807876410393573","0.811314363143631","4-8"
"33","0.735714285714286","0.646972990777339","0.840909090909091","0.815612648221344","0.826749219772476","5-1"
"34","0.714285714285714","0.638831703765342","0.837087719298246","0.807663407530684","0.811871874895131","5-2"
"35","0.735714285714286","0.604608036890646","0.829952635599694","0.834216073781291","0.828261810850284","5-3"
"36","0.735714285714286","0.596591787439613","0.82474025974026","0.85151690821256","0.832139157206816","5-4"
"37","0.721428571428571","0.606102013928101","0.820661268556006","0.817918313570487","0.814789656843311","5-5"
"38","0.785714285714286","0.641347953216374","0.849557312252964","0.883092731829574","0.864068887634105","5-6"
"39","0.771428571428571","0.661821475625823","0.848636373542552","0.862928665537361","0.853084875986181","5-7"
"40","0.735714285714286","0.632692047972368","0.845404981491938","0.80855869911934","0.824763330023102","5-8"
"41","0.792857142857143","0.625940838786107","0.836287834972045","0.905647911338448","0.866506637570467","6-1"
"42","0.764285714285714","0.659990039200566","0.849700854700855","0.843948332369385","0.842401922774594","6-2"
"43","0.735714285714286","0.592083542188805","0.827970695970696","0.83337343358396","0.827038119595664","6-3"
"44","0.707142857142857","0.600206284943127","0.8096038647343","0.80660304607673","0.803458991276843","6-4"
"45","0.75","0.640862573099415","0.842311311876529","0.837280701754386","0.838442565186751","6-5"
"46","0.735714285714286","0.669819735819736","0.834019832189169","0.839639471639472","0.828055576148467","6-6"
"47","0.757142857142857","0.629789196310935","0.832923960097873","0.864578392621871","0.846134755032632","6-7"
"48","0.7","0.587153777594954","0.833971291866029","0.783398464280817","0.799926636670823","6-8"
"49","0.742857142857143","0.575727931488801","0.814346764346764","0.856455862977602","0.833366691248099","7-1"
"50","0.778571428571429","0.682039072039072","0.871943346508564","0.84479242979243","0.851818181818182","7-2"
"51","0.7","0.635018593265666","0.822517162471396","0.78882506531921","0.798678234200898","7-3"
"52","0.735714285714286","0.625780170122275","0.835318731611638","0.812671451355662","0.823746451730514","7-4"
"53","0.735714285714286","0.603180153180153","0.829555555555556","0.846836496836497","0.828119440822515","7-5"
"54","0.65","0.513710709580275","0.784591800356506","0.772183323922454","0.772542038751836","7-6"
"55","0.721428571428571","0.623376623376623","0.833668449197861","0.799134199134199","0.812610447444688","7-7"
