"","accuracy","auc","precision","recall","f1","V1"
"1","0.835641306330962","0.734848484848485","0.881819513819514","0.917316017316017","0.897121672653588","Type: C-classification Kernel: linear"
"2","0.785340266374749","0.584199134199134","0.812466157031374","0.944588744588745","0.872666666666667","Type: C-classification Kernel: polynomial"
"3","0.792784163473819","0.610822510822511","0.822707915273133","0.935930735930736","0.875404367448771","Type: C-classification Kernel: radial"
"4","0.849908775770845","0.72965367965368","0.872826086956522","0.945021645021645","0.907246376811594","Type: C-classification Kernel: sigmoid"
"5","0.715462506841817","0.650649350649351","0.856590909090909","0.763203463203463","0.800943705472469","Type: nu-classification Kernel: linear"
"6","0.75","0.677272727272727","0.876599830375574","0.806926406926407","0.826681521093286","Type: nu-classification Kernel: polynomial"
"7","0.771583652618135","0.691558441558442","0.872144522144522","0.835497835497836","0.836987927811992","Type: nu-classification Kernel: radial"
"8","0.419585841999635","0.431818181818182","0.681944444444444","0.411255411255411","0.501842443947707","Type: nu-classification Kernel: sigmoid"
"9","0.335613939062215","0.464502164502164","0.768333333333333","0.229004329004329","0.339259259259259","Type: one-classification Kernel: linear"
"10","0.457142857142857","0.481601731601732","0.757482517482517","0.439393939393939","0.554648001706825","Type: one-classification Kernel: polynomial"
"11","0.607142857142857","0.558658008658009","0.825058275058275","0.641125541125541","0.713957219251337","Type: one-classification Kernel: radial"
"12","0.656431308155446","0.556926406926407","0.801726014820644","0.732900432900433","0.758538801959854","Type: one-classification Kernel: sigmoid"
