"","accuracy","auc","precision","sensitivity","specificity","f1","V1"
"1","0.807142857142857","0.692843967626576","0.862678593717495","0.899021268586486","0.486666666666667","0.878192003289135","1-1"
"2","0.771428571428571","0.706874236874237","0.869155844155844","0.824462759462759","0.589285714285714","0.842730158730159","1-2"
"3","0.764285714285714","0.647346790890269","0.837192096402623","0.870645962732919","0.424047619047619","0.84989054315696","1-3"
"4","0.778571428571429","0.712571428571429","0.874533829342014","0.834666666666667","0.59047619047619","0.851520425426822","1-4"
"5","0.735714285714286","0.6171328320802","0.835999749043227","0.815218045112782","0.419047619047619","0.824005977773914","1-5"
"6","0.8","0.699169960474308","0.866396761133603","0.880006587615283","0.518333333333333","0.870580086580087","1-6"
"7","0.778571428571429","0.662653999953771","0.846532091097309","0.869752444351987","0.455555555555556","0.857008209182122","1-7"
"8","0.757142857142857","0.675764047800661","0.860209994683679","0.812639206712433","0.538888888888889","0.834977823098211","1-8"
"9","0.714285714285714","0.689478260869565","0.878778467908903","0.742289855072464","0.636666666666667","0.796837129080036","1-9"
"10","0.735714285714286","0.599981648785997","0.818085861506914","0.843058535667231","0.356904761904762","0.827952184397367","1-10"
"11","0.771428571428571","0.649508281573499","0.834294767017879","0.863302277432712","0.435714285714286","0.84723873280395","1-11"
"12","0.728571428571429","0.623693029574036","0.825805274054702","0.811830503592517","0.435555555555556","0.81728573371413","1-12"
"13","0.75","0.582083443126921","0.812260869565217","0.882262124349081","0.281904761904762","0.843959938729822","1-13"
"14","0.757142857142857","0.68223602484472","0.861904761904762","0.827329192546584","0.537142857142857","0.836273927525431","1-14"
"15","0.792857142857143","0.662579051383399","0.857489177489178","0.880158102766798","0.445","0.866305145034583","1-15"
"16","0.714285714285714","0.66393149540518","0.847749809305874","0.784609022556391","0.543253968253968","0.808511200481825","2-1"
"17","0.778571428571429","0.673891398456616","0.856335454019664","0.860163749294184","0.487619047619048","0.85503663003663","2-2"
"18","0.764285714285714","0.663564213564214","0.851082251082251","0.846176046176046","0.480952380952381","0.846993586124021","2-3"
"19","0.707142857142857","0.592392344497608","0.824942791762014","0.793118022328549","0.391666666666667","0.804910532144314","2-4"
"20","0.8","0.710709580274798","0.872773831812733","0.873800112930548","0.547619047619048","0.870791233039377","2-5"
"21","0.7","0.569661512826474","0.823351362596214","0.784907441237364","0.354415584415584","0.801325244820979","2-6"
"22","0.714285714285714","0.584937229437229","0.814069264069264","0.813922077922078","0.355952380952381","0.813651745440093","2-7"
"23","0.714285714285714","0.632422360248447","0.841604010025063","0.781273291925466","0.483571428571429","0.808795973674022","2-8"
"24","0.721428571428571","0.611945080091533","0.826565029173725","0.820556826849733","0.403333333333333","0.819318175501558","2-9"
"25","0.707142857142857","0.644202817650186","0.839712918660287","0.782850079744817","0.505555555555556","0.804085626193122","2-10"
"26","0.757142857142857","0.591158479201958","0.81818315018315","0.878507434594391","0.303809523809524","0.846762617864998","2-11"
"27","0.728571428571429","0.609184704184704","0.82218045112782","0.822655122655123","0.395714285714286","0.820087328130806","2-12"
"28","0.742857142857143","0.648934688499906","0.846163696461179","0.828345567476002","0.46952380952381","0.832227899354092","2-13"
