"","accuracy","auc","precision","recall","f1","V1"
"1","0.985714285714286","0.975652173913043","0.991304347826087","0.991304347826087","1","1"
"2","1","1","1","1","1","2"
"3","0.992857142857143","0.985714285714286","0.990909090909091","1","1","3"
"4","1","1","1","1","1","4"
"5","1","1","1","1","1","5"
"6","1","1","1","1","1","6"
"7","0.971428571428572","0.948214285714286","0.964822134387352","1","1","7"
"8","0.978571428571429","0.967261904761905","0.982608695652174","0.991666666666667","1","8"
"9","0.992857142857143","0.9875","0.990476190476191","1","1","9"
"10","1","1","1","1","1","10"
"11","0.992857142857143","0.988888888888889","0.99","1","1","11"
"12","0.978571428571429","0.961168831168831","0.982575757575758","0.990909090909091","1","12"
"13","0.957142857142857","0.947597402597403","0.983333333333333","0.961861471861472","1","13"
"14","0.964285714285714","0.967388888888889","0.99","0.959777777777778","1","14"
"15","0.95","0.943619047619048","0.983333333333333","0.953904761904762","1","15"
