"id","accuracy","auc","precision","recall","f1","layers"
"1","1","1","1","1","1","1"
"2","1","1","1","1","1","2"
"3","0.992857142857143","0.985714285714286","0.990909090909091","1","1","3"
"4","0.992857142857143","0.985714285714286","0.990909090909091","1","1","4"
"5","1","1","1","1","1","5"
"6","1","1","1","1","1","6"
"7","0.985714285714286","0.973214285714286","0.981385281385281","1","1","7"
"8","0.978571428571429","0.967261904761905","0.982608695652174","0.991666666666667","1","8"
"9","0.978571428571429","0.949621212121212","0.982783882783883","0.990909090909091","1","9"
"10","0.985714285714286","0.990476190476191","1","0.980952380952381","1","10"
"11","0.985714285714286","0.984343434343434","0.99","0.990909090909091","1","11"
"12","0.971428571428572","0.931428571428571","0.966608695652174","1","1","12"
"13","0.942857142857143","0.938192640692641","0.983333333333333","0.943051948051948","1","13"
"14","0.964285714285714","0.971096618357488","0.988888888888889","0.962193236714976","1","14"
"15","0.935714285714286","0.929766233766234","0.972222222222222","0.944380952380952","1","15"
