"","accuracy","auc","precision","recall","f1","V1"
"1","0.985714285714286","0.975652173913043","0.991304347826087","0.991304347826087","1","1"
"2","1","1","1","1","1","2"
"3","0.992857142857143","0.985714285714286","0.990909090909091","1","1","3"
"4","0.992857142857143","0.985714285714286","0.990909090909091","1","1","4"
"5","1","1","1","1","1","5"
"6","1","1","1","1","1","6"
"7","0.985714285714286","0.973214285714286","0.981385281385281","1","1","7"
"8","0.978571428571429","0.967261904761905","0.982608695652174","0.991666666666667","1","8"
"9","0.978571428571429","0.978954545454545","0.990476190476191","0.982909090909091","1","9"
"10","0.992857142857143","0.975","0.992","1","1","10"
"11","0.985714285714286","0.984541062801932","0.99","0.991304347826087","1","11"
"12","0.964285714285714","0.936623376623377","0.974909090909091","0.981818181818182","1","12"
"13","0.957142857142857","0.947597402597403","0.983333333333333","0.961861471861472","1","13"
"14","0.957142857142857","0.971193236714976","1","0.942386473429952","1","14"
"15","0.964285714285714","0.952380952380952","0.983333333333333","0.971428571428571","1","15"
