"","accuracy","auc","precision","recall","f1","V1"
"1","1","1","1","1","1","1"
"2","1","1","1","1","1","2"
"3","0.992857142857143","0.985714285714286","0.990909090909091","1","1","3"
"4","0.992857142857143","0.983333333333333","0.991304347826087","1","1","4"
"5","1","1","1","1","1","5"
"6","0.992857142857143","0.995652173913043","1","0.991304347826087","1","6"
"7","0.985714285714286","0.973214285714286","0.981385281385281","1","1","7"
"8","0.978571428571429","0.967261904761905","0.982608695652174","0.991666666666667","1","8"
"9","0.992857142857143","0.9875","0.990476190476191","1","1","9"
"10","0.992857142857143","0.995238095238095","1","0.990476190476191","1","10"
"11","0.985714285714286","0.968888888888889","0.981666666666667","1","1","11"
"12","0.971428571428572","0.941168831168831","0.974242424242424","0.990909090909091","1","12"
"13","0.964285714285714","0.952359307359307","0.983333333333333","0.971385281385281","1","13"
"14","0.964285714285714","0.969888888888889","0.988235294117647","0.959777777777778","1","14"
"15","0.964285714285714","0.953142857142857","0.983333333333333","0.972952380952381","1","15"
