"id","accuracy","auc","precision","recall","f1","layers"
"1","0.971428571428572","0.885714285714286","0.969480519480519","1","0.933333333333333","1-1-1"
"2","0.935714285714286","0.860714285714286","0.932909090909091","1","0.933333333333333","1-1-2"
"3","0.985714285714286","0.969047619047619","0.982213438735178","1","1","1-1-3"
"4","0.921428571428571","0.8","0.921428571428571","1","0.866666666666667","1-1-4"
"5","0.971428571428572","0.958152173913043","0.973913043478261","0.991304347826087","1","1-2-1"
"6","0.978571428571429","0.960952380952381","0.982142857142857","0.990476190476191","1","1-2-2"
"7","0.978571428571429","0.954603174603175","0.972575757575758","1","1","1-2-3"
"8","0.992857142857143","0.9875","0.990476190476191","1","1","1-2-4"
"9","1","1","1","1","1","1-3-1"
"10","0.985714285714286","0.958333333333333","0.983304347826087","1","1","1-3-2"
"11","0.992857142857143","0.9875","0.990476190476191","1","1","1-3-3"
"12","0.992857142857143","0.985714285714286","0.990909090909091","1","1","1-3-4"
"13","0.95","0.8725","0.950902255639098","0.99","0.933333333333333","1-4-1"
"14","1","1","1","1","1","1-4-2"
"15","0.942857142857143","0.885714285714286","0.940909090909091","1","0.933333333333333","1-4-3"
"16","1","1","1","1","1","1-4-4"
"17","0.978571428571429","0.960952380952381","0.982142857142857","0.990476190476191","1","1-5-1"
"18","0.942857142857143","0.9","0.942857142857143","1","0.933333333333333","1-5-2"
"19","0.985714285714286","0.975","0.981818181818182","1","1","1-5-3"
"20","1","1","1","1","1","1-5-4"
"21","1","1","1","1","1","1-6-1"
"22","0.985714285714286","0.973214285714286","0.981385281385281","1","1","1-6-2"
"23","0.971428571428572","0.949894598155468","0.971497584541063","0.991304347826087","1","1-6-3"
"24","0.985714285714286","0.975","0.981818181818182","1","1","1-6-4"
"25","0.992857142857143","0.9875","0.990476190476191","1","1","1-7-1"
"26","0.992857142857143","0.98","0.991666666666667","1","1","1-7-2"
"27","1","1","1","1","1","1-7-3"
"28","0.992857142857143","0.98","0.991666666666667","1","1","1-7-4"
"29","0.985714285714286","0.978571428571428","0.991304347826087","0.990476190476191","1","1-8-1"
"30","1","1","1","1","1","1-8-2"
"31","0.992857142857143","0.990909090909091","0.988888888888889","1","1","1-8-3"
"32","1","1","1","1","1","1-8-4"
"33","0.971428571428572","0.970277777777778","0.978947368421053","0.980555555555556","1","2-1-1"
"34","0.992857142857143","0.988888888888889","0.99","1","1","2-1-2"
"35","0.985714285714286","0.955555555555555","0.982307692307692","1","1","2-1-3"
"36","0.985714285714286","0.972222222222222","0.981304347826087","1","1","2-1-4"
"37","0.985714285714286","0.975","0.980952380952381","1","1","2-2-1"
"38","0.95","0.885714285714286","0.948051948051948","1","0.933333333333333","2-2-2"
"39","0.985714285714286","0.938888888888889","0.982592592592593","1","1","2-2-3"
