"","accuracy","auc","precision","recall","f1","V1"
"1","0.985714285714286","0.983333333333333","0.990476190476191","0.991666666666667","1","1-1-1"
"2","0.935714285714286","0.861366459627329","0.939356295878035","0.991304347826087","0.933333333333333","1-1-2"
"3","0.992857142857143","0.985714285714286","0.990909090909091","1","1","1-1-3"
"4","1","1","1","1","1","1-1-4"
"5","0.992857142857143","0.985714285714286","0.990909090909091","1","1","1-2-1"
"6","1","1","1","1","1","1-2-2"
"7","0.971428571428572","0.947619047619048","0.973809523809524","0.990476190476191","1","1-2-3"
"8","1","1","1","1","1","1-2-4"
"9","0.985714285714286","0.963333333333333","0.982971014492753","1","1","1-3-1"
"10","0.907142857142857","0.8","0.907142857142857","1","0.866666666666667","1-3-2"
"11","0.985714285714286","0.978571428571428","0.991304347826087","0.990476190476191","1","1-3-3"
"12","1","1","1","1","1","1-3-4"
"13","0.935714285714286","0.9","0.935714285714286","1","0.933333333333333","1-4-1"
"14","0.992857142857143","0.983333333333333","0.991304347826087","1","1","1-4-2"
"15","1","1","1","1","1","1-4-3"
"16","0.992857142857143","0.983333333333333","0.991304347826087","1","1","1-4-4"
"17","0.992857142857143","0.995652173913043","1","0.991304347826087","1","1-5-1"
"18","1","1","1","1","1","1-5-2"
"19","0.907142857142857","0.766666666666667","0.904761904761905","1","0.866666666666667","1-5-3"
"20","0.985714285714286","0.9625","0.982476190476191","1","1","1-5-4"
"21","0.892857142857143","0.78","0.887142857142857","1","0.866666666666667","1-6-1"
"22","0.9","0.791304347826087","0.914285714285714","0.982608695652174","0.866666666666667","1-6-2"
"23","0.921428571428571","0.888888888888889","0.918571428571428","1","0.933333333333333","1-6-3"
"24","0.992857142857143","0.985714285714286","0.990909090909091","1","1","1-6-4"
"25","0.935714285714286","0.89","0.932330827067669","1","0.933333333333333","1-7-1"
"26","1","1","1","1","1","1-7-2"
"27","0.985714285714286","0.981818181818182","0.978947368421053","1","1","1-7-3"
"28","1","1","1","1","1","1-7-4"
"29","0.992857142857143","0.983333333333333","0.991304347826087","1","1","1-8-1"
"30","0.957142857142857","0.885714285714286","0.955194805194805","1","0.933333333333333","1-8-2"
"31","0.992857142857143","0.985714285714286","0.990909090909091","1","1","1-8-3"
"32","0.992857142857143","0.983333333333333","0.991304347826087","1","1","1-8-4"
"33","0.985714285714286","0.976388888888889","0.980476190476191","1","1","2-1-1"
"34","0.971428571428572","0.948409090909091","0.970888888888889","0.99","1","2-1-2"
"35","0.978571428571429","0.9625","0.972294372294372","1","1","2-1-3"
"36","1","1","1","1","1","2-1-4"
"37","0.957142857142857","0.929082125603865","0.963561076604555","0.982608695652174","1","2-2-1"
"38","0.985714285714286","0.974603174603175","0.980909090909091","1","1","2-2-2"
"39","0.978571428571429","0.945833333333333","0.973780538302277","1","1","2-2-3"
"40","0.985714285714286","0.975","0.981818181818182","1","1","2-2-4"
"41","0.978571428571429","0.941269841269841","0.973216783216783","1","1","2-3-1"
"42","0.985714285714286","0.978787878787879","0.991304347826087","0.990909090909091","1","2-3-2"
"43","0.992857142857143","0.9875","0.990476190476191","1","1","2-3-3"
"44","0.957142857142857","0.9","0.957142857142857","1","0.933333333333333","2-3-4"
"45","0.957142857142857","0.9","0.957142857142857","1","0.933333333333333","2-4-1"
"46","0.985714285714286","0.981168831168831","0.990909090909091","0.990909090909091","1","2-4-2"
"47","0.992857142857143","0.995833333333333","1","0.991666666666667","1","2-4-3"
"48","0.992857142857143","0.988888888888889","0.99","1","1","2-4-4"
"49","0.957142857142857","0.9","0.957142857142857","1","0.933333333333333","2-5-1"
"50","0.971428571428572","0.942121212121212","0.973880105401845","0.990909090909091","1","2-5-2"
"51","0.985714285714286","0.971428571428572","0.982608695652174","1","1","2-5-3"
"52","0.992857142857143","NaN","0.988888888888889","1","1","2-5-4"
"53","0.992857142857143","0.985714285714286","0.990909090909091","1","1","2-6-1"
"54","0.978571428571429","0.963492063492063","0.971861471861472","1","1","2-6-2"
"55","0.978571428571429","0.95","0.97463768115942","1","1","2-6-3"
"56","1","1","1","1","1","2-6-4"
"57","1","1","1","1","1","2-7-1"
"58","0.985714285714286","0.971428571428572","0.981818181818182","1","1","2-7-2"
"59","0.992857142857143","0.994736842105263","1","0.989473684210526","1","2-7-3"
"60","1","1","1","1","1","2-7-4"
"61","1","1","1","1","1","2-8-1"
"62","1","NaN","1","1","1","2-8-2"
"63","1","1","1","1","1","2-8-3"
"64","1","1","1","1","1","2-8-4"
"65","0.971428571428572","0.950833333333333","0.961780538302277","1","1","3-1-1"
"66","0.985714285714286","0.984343434343434","0.99","0.990909090909091","1","3-1-2"
"67","0.95","0.9","0.95","1","0.933333333333333","3-1-3"
"68","0.992857142857143","0.995238095238095","1","0.990476190476191","1","3-1-4"
"69","0.964285714285714","0.943439153439153","0.964473684210526","0.992592592592593","1","3-2-1"
"70","1","1","1","1","1","3-2-2"
"71","0.992857142857143","0.985714285714286","0.990909090909091","1","1","3-2-3"
"72","0.978571428571428","0.9625","0.973913043478261","1","1","3-2-4"
"73","1","1","1","1","1","3-3-1"
"74","0.992857142857143","0.99","0.989473684210526","1","1","3-3-2"
"75","0.992857142857143","0.975","0.992","1","1","3-3-3"
"76","0.992857142857143","0.985714285714286","0.990909090909091","1","1","3-3-4"
"77","0.992857142857143","0.988888888888889","0.99","1","1","3-4-1"
"78","0.971428571428572","0.946366459627329","0.972382775119617","0.991304347826087","1","3-4-2"
"79","0.985714285714286","0.965714285714286","0.982575757575758","1","1","3-4-3"
"80","0.992857142857143","0.985714285714286","0.990909090909091","1","1","3-4-4"
"81","0.921428571428571","0.876","0.927380952380952","0.992","0.933333333333333","3-5-1"
"82","0.978571428571428","0.97","0.971428571428572","1","1","3-5-2"
"83","1","1","1","1","1","3-5-3"
"84","0.985714285714286","0.972222222222222","0.981304347826087","1","1","3-5-4"
"85","0.971428571428572","0.968727272727273","0.97","0.992","1","3-6-1"
"86","0.992857142857143","0.9875","0.990476190476191","1","1","3-6-2"
"87","1","1","1","1","1","3-6-3"
"88","0.942857142857143","0.875","0.942","1","0.933333333333333","3-6-4"
"89","0.992857142857143","0.9875","0.990476190476191","1","1","3-7-1"
"90","0.992857142857143","0.9875","0.990476190476191","1","1","3-7-2"
"91","0.964285714285714","0.95015873015873","0.960909090909091","0.988888888888889","1","3-7-3"
"92","1","1","1","1","1","3-7-4"
"93","0.985714285714286","0.963333333333333","0.982971014492754","1","1","3-8-1"
"94","0.985714285714286","0.969047619047619","0.982213438735178","1","1","3-8-2"
"95","0.978571428571428","0.9625","0.973913043478261","1","1","3-8-3"
"96","1","1","1","1","1","3-8-4"
"97","0.971428571428572","0.945454545454545","0.973913043478261","0.990909090909091","1","4-1-1"
"98","0.964285714285714","0.923214285714286","0.966242424242424","0.991666666666667","1","4-1-2"
"99","0.971428571428571","0.951923076923077","0.958666666666667","1","1","4-1-3"
