"","accuracy","auc","precision","recall","f1","V1"
"1","1","1","1","1","1","1-1-1"
"2","0.942857142857143","0.873214285714286","0.938528138528138","1","0.933333333333333","1-1-2"
"3","0.985714285714286","0.973214285714286","0.981385281385281","1","1","1-1-3"
"4","0.992857142857143","0.98","0.991666666666667","1","1","1-1-4"
"5","0.978571428571429","0.967080745341615","0.981818181818182","0.991304347826087","1","1-2-1"
"6","0.992857142857143","0.9875","0.990476190476191","1","1","1-2-2"
"7","0.978571428571428","0.966666666666667","0.981818181818182","0.990476190476191","1","1-2-3"
"8","1","1","1","1","1","1-2-4"
"9","0.992857142857143","0.983333333333333","0.991304347826087","1","1","1-3-1"
"10","0.885714285714286","0.75","0.881780538302277","1","0.866666666666667","1-3-2"
"11","0.992857142857143","0.983333333333333","0.991304347826087","1","1","1-3-3"
"12","0.985714285714286","0.966666666666667","0.983333333333333","1","1","1-3-4"
"13","0.928571428571429","0.875","0.927714285714286","1","0.933333333333333","1-4-1"
"14","0.971428571428572","0.947619047619048","0.973084886128364","0.990476190476191","1","1-4-2"
"15","1","1","1","1","1","1-4-3"
"16","0.992857142857143","0.9875","0.990476190476191","1","1","1-4-4"
"17","1","1","1","1","1","1-5-1"
"18","1","1","1","1","1","1-5-2"
"19","0.935714285714286","0.858333333333333","0.933304347826087","1","0.933333333333333","1-5-3"
"20","0.985714285714286","0.9625","0.982476190476191","1","1","1-5-4"
"21","0.885714285714286","0.77","0.878571428571428","1","0.866666666666667","1-6-1"
"22","0.921428571428571","0.891304347826087","0.935714285714286","0.982608695652174","0.933333333333333","1-6-2"
"23","0.892857142857143","0.844444444444444","0.886904761904762","1","0.933333333333333","1-6-3"
"24","0.985714285714286","0.97375","0.991666666666667","0.9875","1","1-6-4"
"25","0.935714285714286","0.89","0.932330827067669","1","0.933333333333333","1-7-1"
"26","1","1","1","1","1","1-7-2"
"27","0.985714285714286","0.875","0.984857142857143","1","0.933333333333333","1-7-3"
"28","1","1","1","1","1","1-7-4"
"29","1","1","1","1","1","1-8-1"
"30","0.957142857142857","0.875","0.956285714285714","1","0.933333333333333","1-8-2"
"31","1","1","1","1","1","1-8-3"
"32","0.992857142857143","0.983333333333333","0.991304347826087","1","1","1-8-4"
"33","0.992857142857143","0.988888888888889","0.99","1","1","2-1-1"
"34","0.992857142857143","0.975","0.992","1","1","2-1-2"
"35","0.978571428571429","0.9625","0.972294372294372","1","1","2-1-3"
"36","0.992857142857143","0.988888888888889","0.99","1","1","2-1-4"
"37","0.978571428571429","0.957777777777778","0.972619047619048","1","1","2-2-1"
"38","0.978571428571428","0.963492063492063","0.971861471861472","1","1","2-2-2"
"39","0.971428571428572","0.945454545454546","0.973818181818182","0.990909090909091","1","2-2-3"
"40","0.985714285714286","0.9825","0.99","0.99","1","2-2-4"
"41","0.985714285714286","0.974603174603175","0.980909090909091","1","1","2-3-1"
"42","0.978571428571429","0.962121212121212","0.982213438735178","0.990909090909091","1","2-3-2"
"43","0.992857142857143","0.9875","0.990476190476191","1","1","2-3-3"
"44","0.95","0.8875","0.947619047619048","1","0.933333333333333","2-3-4"
"45","0.95","0.885714285714286","0.948051948051948","1","0.933333333333333","2-4-1"
"46","0.992857142857143","0.985714285714286","0.990909090909091","1","1","2-4-2"
"47","0.978571428571428","0.977380952380952","0.990909090909091","0.983333333333333","1","2-4-3"
"48","0.985714285714286","0.978888888888889","0.979473684210526","1","1","2-4-4"
"49","0.985714285714286","0.963333333333333","0.982971014492754","1","1","2-5-1"
"50","0.985714285714286","0.978787878787879","0.990909090909091","0.990909090909091","1","2-5-2"
"51","0.978571428571428","0.957142857142857","0.975","1","1","2-5-3"
"52","0.992857142857143","NaN","0.988888888888889","1","1","2-5-4"
"53","0.985714285714286","0.971428571428572","0.981818181818182","1","1","2-6-1"
"54","0.992857142857143","0.988888888888889","0.99","1","1","2-6-2"
"55","0.978571428571429","0.95","0.97463768115942","1","1","2-6-3"
"56","1","1","1","1","1","2-6-4"
"57","0.992857142857143","0.995833333333333","1","0.991666666666667","1","2-7-1"
"58","0.992857142857143","0.985714285714286","0.990909090909091","1","1","2-7-2"
"59","0.985714285714286","0.974736842105263","0.991666666666667","0.989473684210526","1","2-7-3"
"60","0.985714285714286","0.976388888888889","0.980476190476191","1","1","2-7-4"
"61","1","1","1","1","1","2-8-1"
"62","0.992857142857143","NaN","0.992","1","1","2-8-2"
"63","1","1","1","1","1","2-8-3"
"64","1","1","1","1","1","2-8-4"
"65","0.978571428571429","0.9525","0.971949874686717","1","1","3-1-1"
"66","0.992857142857143","0.995454545454545","1","0.990909090909091","1","3-1-2"
"67","0.95","0.9","0.95","1","0.933333333333333","3-1-3"
"68","0.971428571428572","0.95","0.973122529644269","0.990476190476191","1","3-1-4"
"69","0.957142857142857","0.929153439153439","0.955382775119617","0.992592592592593","1","3-2-1"
"70","0.992857142857143","0.9875","0.990476190476191","1","1","3-2-2"
"71","1","1","1","1","1","3-2-3"
"72","0.992857142857143","0.9875","0.990476190476191","1","1","3-2-4"
"73","0.992857142857143","0.983333333333333","0.991304347826087","1","1","3-3-1"
"74","0.992857142857143","0.983333333333333","0.991304347826087","1","1","3-3-2"
"75","0.985714285714286","0.955","0.983666666666667","1","1","3-3-3"
"76","0.985714285714286","0.971428571428572","0.982608695652174","1","1","3-3-4"
"77","0.992857142857143","0.988888888888889","0.99","1","1","3-4-1"
"78","0.978571428571429","0.965714285714286","0.970909090909091","1","1","3-4-2"
"79","1","1","1","1","1","3-4-3"
"80","0.992857142857143","0.985714285714286","0.990909090909091","1","1","3-4-4"
"81","0.935714285714286","0.9","0.935714285714286","1","0.933333333333333","3-5-1"
"82","0.978571428571428","0.97","0.971428571428572","1","1","3-5-2"
"83","0.985714285714286","0.971428571428572","0.982608695652174","1","1","3-5-3"
"84","0.978571428571429","0.955555555555555","0.973333333333333","1","1","3-5-4"
"85","0.971428571428572","0.968727272727273","0.97","0.992","1","3-6-1"
"86","0.978571428571429","0.960714285714286","0.972727272727273","1","1","3-6-2"
"87","1","1","1","1","1","3-6-3"
"88","0.942857142857143","0.875","0.942","1","0.933333333333333","3-6-4"
"89","0.992857142857143","0.9875","0.990476190476191","1","1","3-7-1"
"90","0.992857142857143","0.9875","0.990476190476191","1","1","3-7-2"
"91","0.978571428571429","0.965714285714286","0.970909090909091","1","1","3-7-3"
"92","1","1","1","1","1","3-7-4"
"93","0.985714285714286","0.966666666666667","0.983333333333333","1","1","3-8-1"
"94","0.978571428571429","0.958928571428571","0.973084886128364","1","1","3-8-2"
"95","0.978571428571428","0.9625","0.973913043478261","1","1","3-8-3"
"96","1","1","1","1","1","3-8-4"
"97","0.985714285714286","0.966666666666667","0.982608695652174","1","1","4-1-1"
"98","0.964285714285714","0.923214285714286","0.966242424242424","0.991666666666667","1","4-1-2"
"99","0.978571428571428","0.976923076923077","0.966666666666667","1","1","4-1-3"
"100","0.985714285714286","0.977777777777778","0.980952380952381","1","1","4-1-4"
"101","0.985714285714286","0.958333333333333","0.983304347826087","1","1","4-2-1"
"102","0.985714285714286","0.971428571428572","0.982608695652174","1","1","4-2-2"
"103","0.992857142857143","0.983333333333333","0.991304347826087","1","1","4-2-3"
"104","0.992857142857143","0.988888888888889","0.99","1","1","4-2-4"
"105","0.878571428571429","0.755","0.876523809523809","1","0.866666666666667","4-3-1"
"106","0.978571428571429","0.977056277056277","0.978947368421053","0.990476190476191","1","4-3-2"
"107","0.992857142857143","0.985714285714286","0.990909090909091","1","1","4-3-3"
"108","1","1","1","1","1","4-3-4"
"109","0.971428571428572","0.942857142857143","0.968","1","1","4-4-1"
"110","0.992857142857143","0.983333333333333","0.991304347826087","1","1","4-4-2"
"111","0.992857142857143","0.985714285714286","0.990909090909091","1","1","4-4-3"
"112","0.978571428571429","0.941666666666667","0.975333333333333","1","1","4-4-4"
"113","1","1","1","1","1","4-5-1"
"114","0.985714285714286","0.966666666666667","0.983333333333333","1","1","4-5-2"
"115","0.992857142857143","0.985714285714286","0.990909090909091","1","1","4-5-3"
"116","0.992857142857143","0.988888888888889","0.99","1","1","4-5-4"
"117","0.985714285714286","0.985833333333333","0.989473684210526","0.991666666666667","1","4-6-1"
"118","1","1","1","1","1","4-6-2"
"119","1","1","1","1","1","4-6-3"
"120","1","1","1","1","1","4-6-4"
"121","0.978571428571429","0.956547619047619","0.972689629211368","1","1","4-7-1"
"122","0.992857142857143","0.983333333333333","0.991304347826087","1","1","4-7-2"
"123","1","1","1","1","1","4-7-3"
"124","1","1","1","1","1","4-7-4"
"125","0.992857142857143","0.983333333333333","0.991304347826087","1","1","4-8-1"
"126","0.992857142857143","0.985714285714286","0.990909090909091","1","1","4-8-2"
"127","1","1","1","1","1","4-8-3"
"128","0.992857142857143","0.990909090909091","0.988888888888889","1","1","4-8-4"
"129","0.985714285714286","0.963333333333333","0.982971014492753","1","1","5-1-1"
"130","0.957142857142857","0.895454545454546","0.959615384615385","0.990909090909091","1","5-1-2"
