"","accuracy","auc","precision","recall","f1","V1"
"1","0.95","0.9","0.95","1","0.933333333333333","1-1-1"
"2","0.964285714285714","0.921031746031746","0.955517786561265","1","1","1-1-2"
"3","0.992857142857143","0.985714285714286","0.990909090909091","1","1","1-1-3"
"4","0.885714285714286","0.763888888888889","0.882","1","0.866666666666667","1-1-4"
"5","0.964285714285714","0.953390269151139","0.973913043478261","0.981780538302277","1","1-2-1"
"6","0.942857142857143","0.86","0.941142857142857","1","0.933333333333333","1-2-2"
"7","0.935714285714286","0.877777777777778","0.930952380952381","1","0.933333333333333","1-2-3"
"8","0.992857142857143","0.9875","0.990476190476191","1","1","1-2-4"
"9","0.971428571428572","0.952121212121212","0.97280701754386","0.990909090909091","1","1-3-1"
"10","0.992857142857143","0.983333333333333","0.991304347826087","1","1","1-3-2"
"11","0.992857142857143","0.98","0.991666666666667","1","1","1-3-3"
"12","0.992857142857143","0.985714285714286","0.990909090909091","1","1","1-3-4"
"13","0.942857142857143","0.8575","0.933333333333333","1","0.933333333333333","1-4-1"
"14","1","1","1","1","1","1-4-2"
"15","0.942857142857143","0.885714285714286","0.940909090909091","1","0.933333333333333","1-4-3"
"16","0.992857142857143","0.988888888888889","0.99","1","1","1-4-4"
"17","0.957142857142857","0.895238095238095","0.964285714285714","0.990476190476191","0.933333333333333","1-5-1"
"18","0.921428571428571","0.874242424242424","0.933333333333333","0.981818181818182","0.933333333333333","1-5-2"
"19","0.935714285714286","0.8875","0.933333333333333","1","0.933333333333333","1-5-3"
"20","1","1","1","1","1","1-5-4"
"21","0.921428571428571","0.8","0.921428571428571","1","0.866666666666667","1-6-1"
"22","0.978571428571429","0.960714285714286","0.972727272727273","1","1","1-6-2"
"23","0.971428571428572","0.946561264822134","0.972222222222222","0.991304347826087","1","1-6-3"
"24","0.985714285714286","0.975","0.981818181818182","1","1","1-6-4"
"25","0.914285714285714","0.846287878787879","0.915909090909091","0.990909090909091","0.933333333333333","1-7-1"
"26","0.992857142857143","0.98","0.991666666666667","1","1","1-7-2"
"27","1","1","1","1","1","1-7-3"
"28","0.992857142857143","0.98","0.991666666666667","1","1","1-7-4"
