"id","accuracy","auc","precision","recall","f1","layers"
"1","0.935714285714286","0.890909090909091","0.931746031746032","1","0.933333333333333","1-1"
"2","1","1","1","1","1","1-2"
"3","1","1","1","1","1","1-3"
"4","0.992857142857143","0.983333333333333","0.991304347826087","1","1","1-4"
"5","0.978571428571429","0.963888888888889","0.971818181818182","1","1","1-5"
"6","1","1","1","1","1","1-6"
"7","0.992857142857143","0.983333333333333","0.991304347826087","1","1","1-7"
"8","0.935714285714286","0.9","0.935714285714286","1","0.933333333333333","1-8"
"9","0.992857142857143","0.988888888888889","0.99","1","1","2-1"
"10","0.992857142857143","0.9875","0.990476190476191","1","1","2-2"
"11","1","1","1","1","1","2-3"
"12","0.992857142857143","0.985714285714286","0.990909090909091","1","1","2-4"
"13","0.985714285714286","0.977777777777778","0.980952380952381","1","1","2-5"
"14","0.992857142857143","0.985714285714286","0.990909090909091","1","1","2-6"
"15","0.978571428571428","0.97","0.971428571428572","1","1","2-7"
"16","1","1","1","1","1","2-8"
"17","1","1","1","1","1","3-1"
"18","1","1","1","1","1","3-2"
"19","1","1","1","1","1","3-3"
"20","0.985714285714286","0.965909090909091","0.980888888888889","1","1","3-4"
"21","0.992857142857143","0.988888888888889","0.99","1","1","3-5"
"22","0.985714285714286","0.969047619047619","0.982213438735178","1","1","3-6"
"23","1","1","1","1","1","3-7"
"24","0.992857142857143","0.9875","0.990476190476191","1","1","3-8"
"25","0.992857142857143","0.99","0.989473684210526","1","1","4-1"
"26","0.978571428571429","0.928985507246377","0.985185185185185","0.991304347826087","1","4-2"
"27","0.992857142857143","0.98","0.991666666666667","1","1","4-3"
"28","0.992857142857143","0.985714285714286","0.990909090909091","1","1","4-4"
"29","0.992857142857143","0.988888888888889","0.99","1","1","4-5"
"30","1","1","1","1","1","4-6"
"31","0.992857142857143","0.98","0.991666666666667","1","1","4-7"
"32","0.992857142857143","0.98","0.991666666666667","1","1","4-8"
"33","1","1","1","1","1","5-1"
"34","1","1","1","1","1","5-2"
"35","0.992857142857143","0.985714285714286","0.990909090909091","1","1","5-3"
"36","0.985714285714286","0.974603174603175","0.980909090909091","1","1","5-4"
"37","1","1","1","1","1","5-5"
"38","1","1","1","1","1","5-6"
"39","1","1","1","1","1","5-7"
"40","1","1","1","1","1","5-8"
"41","1","1","1","1","1","6-1"
"42","1","1","1","1","1","6-2"
"43","1","1","1","1","1","6-3"
"44","0.971428571428572","0.956818181818182","0.960765550239234","1","1","6-4"
"45","0.992857142857143","0.985714285714286","0.990909090909091","1","1","6-5"
"46","0.992857142857143","0.975","0.992","1","1","6-6"
"47","0.992857142857143","0.98","0.991666666666667","1","1","6-7"
"48","0.985714285714286","0.970833333333333","0.981780538302277","1","1","6-8"
"49","0.928571428571429","0.890909090909091","0.942857142857143","0.981818181818182","0.933333333333333","7-1"
"50","0.985714285714286","0.975","0.981818181818182","1","1","7-2"
"51","0.992857142857143","0.988888888888889","0.99","1","1","7-3"
"52","0.985714285714286","0.972222222222222","0.981304347826087","1","1","7-4"
"53","0.992857142857143","0.9875","0.990476190476191","1","1","7-5"
"54","0.964285714285714","0.936714285714286","0.964393939393939","0.992","1","7-6"
"55","1","1","1","1","1","7-7"
"56","0.992857142857143","0.985714285714286","0.990909090909091","1","1","7-8"
"57","0.957142857142857","0.929580745341615","0.956521739130435","0.991304347826087","1","8-1"
"58","0.985714285714286","0.972222222222222","0.981304347826087","1","1","8-2"
"59","1","1","1","1","1","8-3"
"60","1","1","1","1","1","8-4"
"61","1","1","1","1","1","8-5"
"62","0.992857142857143","0.995238095238095","1","0.990476190476191","1","8-6"
"63","1","1","1","1","1","8-7"
"64","1","1","1","1","1","8-8"
"65","0.978571428571429","0.963333333333333","0.971304347826087","1","1","9-1"
"66","0.985714285714286","0.970454545454545","0.992","0.990909090909091","1","9-2"
"67","1","1","1","1","1","9-3"
"68","0.992857142857143","0.99","0.989473684210526","1","1","9-4"
"69","0.985714285714286","0.963333333333333","0.982971014492753","1","1","9-5"
"70","1","1","1","1","1","9-6"
"71","0.992857142857143","0.988888888888889","0.99","1","1","9-7"
"72","1","1","1","1","1","9-8"
"73","1","1","1","1","1","10-1"
"74","1","1","1","1","1","10-2"
"75","1","1","1","1","1","10-3"
"76","0.992857142857143","0.985714285714286","0.990909090909091","1","1","10-4"
"77","1","1","1","1","1","10-5"
"78","1","1","1","1","1","10-6"
"79","0.992857142857143","0.98","0.991666666666667","1","1","10-7"
"80","0.985714285714286","0.981818181818182","0.978947368421053","1","1","10-8"
"81","1","1","1","1","1","11-1"
"82","0.992857142857143","0.9875","0.990476190476191","1","1","11-2"
"83","0.992857142857143","0.9875","0.990476190476191","1","1","11-3"
"84","0.985714285714286","0.9675","0.982142857142857","1","1","11-4"
"85","0.978571428571429","0.958333333333333","0.973122529644269","1","1","11-5"
"86","0.985714285714286","0.982954545454546","0.990476190476191","0.990909090909091","1","11-6"
"87","0.992857142857143","0.995652173913044","1","0.991304347826087","1","11-7"
"88","1","1","1","1","1","11-8"
"89","0.935714285714286","0.9","0.935714285714286","1","0.933333333333333","12-1"
"90","1","1","1","1","1","12-2"
"91","0.978571428571429","NaN","0.966666666666667","1","1","12-3"
"92","0.992857142857143","0.98","0.991666666666667","1","1","12-4"
"93","0.985714285714286","0.977777777777778","0.980952380952381","1","1","12-5"
"94","0.985714285714286","0.981818181818182","0.978947368421053","1","1","12-6"
"95","0.992857142857143","0.98","0.991666666666667","1","1","12-7"
"96","1","1","1","1","1","12-8"
"97","1","1","1","1","1","13-1"
"98","0.964285714285714","0.9","0.964285714285714","1","0.933333333333333","13-2"
"99","0.992857142857143","0.99","0.989473684210526","1","1","13-3"
